Year,Tm,Attendance,AttendG,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,TmName,TmColor,WSWin
1995,KCR,"1,233,530","17,132",29.1,28,101,101,0,1,13,"$29,532,834.00",Kansas City Royals,#004687,FALSE
1994,KCR,"1,400,494","23,737",30.1,28,103,104,0,1,11,"$40,541,334.00",Kansas City Royals,#004687,FALSE
1993,KCR,"1,934,578","23,884",30.1,27.4,106,106,1,1,11,"$41,455,167.00",Kansas City Royals,#004687,FALSE
1992,KCR,"1,867,689","23,058",28.9,27.1,102,102,1,1,13,"$33,893,834.00",Kansas City Royals,#004687,FALSE
1991,KCR,"2,161,537","26,686",28.6,27.6,100,101,1,1,12,"$26,319,834.00",Kansas City Royals,#004687,FALSE
1990,KCR,"2,244,956","27,716",29.8,27.3,98,98,1,1,18,"$24,161,084.00",Kansas City Royals,#004687,FALSE
1989,KCR,"2,477,700","30,589",30.5,27.7,100,100,1,2,16,"$18,914,068.00",Kansas City Royals,#004687,FALSE
1988,KCR,"2,350,181","29,377",29.5,29,101,101,1,3,15,"$14,850,062.00",Kansas City Royals,#004687,FALSE
1987,KCR,"2,392,471","29,537",29.3,27.4,102,102,1,3,13,"$12,513,056.00",Kansas City Royals,#004687,FALSE
1986,KCR,"2,320,794","28,652",30.9,27.3,101,101,1,2,14,"$13,043,698.00",Kansas City Royals,#004687,FALSE
1985,KCR,"2,162,717","26,375",30.9,26.1,99,99,1,1,13,"$10,565,346.00",Kansas City Royals,#004687,TRUE
1984,KCR,"1,810,018","22,346",29.5,26.9,100,100,1,2,11,,Kansas City Royals,#004687,FALSE
1983,KCR,"1,963,875","23,950",30.2,32.2,100,100,2,3,10,,Kansas City Royals,#004687,FALSE
1982,KCR,"2,284,464","28,203",30.4,30.9,100,100,1,5,10,,Kansas City Royals,#004687,FALSE
1981,KCR,"1,279,403","27,221",29.2,28.8,98,98,1,2,12,,Kansas City Royals,#004687,FALSE
1980,KCR,"2,288,714","28,256",27.7,29.1,100,99,1,3,12,,Kansas City Royals,#004687,FALSE
1979,KCR,"2,261,845","27,924",27.9,28.9,102,101,1,3,12,,Kansas City Royals,#004687,FALSE
1978,KCR,"2,255,493","27,846",27.2,28.7,102,101,1,4,11,,Kansas City Royals,#004687,FALSE
1977,KCR,"1,852,603","22,872",27.6,28.4,102,100,1,1,13,,Kansas City Royals,#004687,FALSE
1976,KCR,"1,680,265","20,744",27,27.6,102,100,1,4,14,,Kansas City Royals,#004687,FALSE
1975,KCR,"1,151,836","14,220",28.1,28.1,103,102,2,2,12,,Kansas City Royals,#004687,FALSE
1974,KCR,"1,173,292","14,485",27.4,28.6,105,105,2,3,15,"$539,100.00",Kansas City Royals,#004687,FALSE
1973,KCR,"1,345,341","16,609",27.6,25.9,106,106,1,3,12,"$452,600.00",Kansas City Royals,#004687,FALSE
1972,KCR,"707,656","9,190",27.7,27.4,99,98,0,5,10,,Kansas City Royals,#004687,FALSE
1971,KCR,"910,784","11,244",27.2,26.7,98,98,0,2,7,,Kansas City Royals,#004687,FALSE
1970,KCR,"693,047","8,773",26.4,26.2,99,100,0,1,6,"$207,200.00",Kansas City Royals,#004687,FALSE
1969,KCR,"902,414","11,005",25.7,25.2,100,101,0,1,4,"$453,700.00",Kansas City Royals,#004687,FALSE
2019,LAA,"3,019,012","37,272",28.8,27,98,98,0,2,8,"$177,345,250.00",Los Angeles Angels,#BA0021,FALSE
2018,LAA,"3,020,216","37,287",29.5,27.5,98,98,0,1,7,"$166,849,666.00",Los Angeles Angels,#BA0021,FALSE
2017,LAA,"3,019,585","37,279",29.9,29.1,97,97,0,1,7,"$181,125,500.00",Los Angeles Angels,#BA0021,FALSE
2016,LAA,"3,016,142","37,236",28.5,28.4,95,95,0,1,8,"$139,712,000.00",Los Angeles Angels,#BA0021,FALSE
2015,LAA,"3,012,765","37,195",28.7,28.3,94,94,0,3,10,"$131,522,500.00",Los Angeles Angels,#BA0021,FALSE
2014,LAA,"3,095,935","38,221",29.3,28.4,95,94,0,2,13,"$128,667,000.00",Los Angeles Angels,#BA0021,FALSE
2013,LAA,"3,019,505","37,278",27.8,29.1,94,94,0,1,10,"$116,532,500.00",Los Angeles Angels,#BA0021,FALSE
2012,LAA,"3,061,770","37,800",28.7,30.1,94,93,0,4,16,"$141,073,500.00",Los Angeles Angels,#BA0021,FALSE
2011,LAA,"3,166,321","39,090",28.9,28.4,92,92,0,3,13,"$138,543,166.00",Los Angeles Angels,#BA0021,FALSE
2010,LAA,"3,250,814","40,134",29.7,28.3,96,96,0,2,15,"$104,963,866.00",Los Angeles Angels,#BA0021,FALSE
2009,LAA,"3,240,386","40,005",29.6,28.6,99,98,1,3,14,"$118,169,000.00",Los Angeles Angels,#BA0021,FALSE
2008,LAA,"3,336,747","41,194",29,27.6,102,102,1,3,16,"$119,216,333.00",Los Angeles Angels,#BA0021,FALSE
2007,LAA,"3,365,632","41,551",28.6,28.4,101,100,1,3,14,"$109,251,333.00",Los Angeles Angels,#BA0021,FALSE
2006,LAA,"3,406,790","42,059",28.8,27.9,100,99,1,1,15,"$103,472,000.00",Los Angeles Angels,#BA0021,FALSE
2005,LAA,"3,404,686","42,033",29.8,28.5,98,97,1,3,12,"$94,867,822.00",Los Angeles Angels,#BA0021,FALSE
2004,LAA,"3,375,677","41,675",28.9,29,97,96,1,2,15,"$100,534,667.00",Los Angeles Angels,#BA0021,FALSE
2003,LAA,"3,061,094","37,330",29.1,29,98,97,0,3,12,"$79,031,667.00",Los Angeles Angels,#BA0021,FALSE
2002,LAA,"2,305,547","28,464",28.3,30.2,100,99,0,1,11,"$61,721,667.00",Los Angeles Angels,#BA0021,TRUE
2001,LAA,"2,000,919","24,703",27.9,28.9,101,100,0,2,7,"$47,735,167.00",Los Angeles Angels,#BA0021,FALSE
2000,LAA,"2,066,982","25,518",27.6,28.9,102,102,0,2,12,"$52,664,167.00",Los Angeles Angels,#BA0021,FALSE
1999,LAA,"2,253,123","27,816",28.6,31.5,99,99,0,1,11,"$55,633,166.00",Los Angeles Angels,#BA0021,FALSE
1998,LAA,"2,519,280","31,102",28.7,29.8,102,102,0,2,16,"$41,791,000.00",Los Angeles Angels,#BA0021,FALSE
1997,LAA,"1,767,330","21,553",29.8,28.3,102,102,2,1,15,"$31,135,472.00",Los Angeles Angels,#BA0021,FALSE
2019,LAD,"3,974,309","49,066",27.9,28.9,96,94,0,5,13,"$193,553,333.00",Los Angeles Dodgers,#005A9C,FALSE
2018,LAD,"3,857,500","47,043",28.1,29.2,98,96,0,3,18,"$164,703,429.00",Los Angeles Dodgers,#005A9C,FALSE
2017,LAD,"3,765,856","46,492",27.9,29.7,96,95,0,6,19,"$201,466,263.00",Los Angeles Dodgers,#005A9C,FALSE
2016,LAD,"3,703,312","45,720",28.9,28.9,97,96,0,3,17,"$231,342,096.00",Los Angeles Dodgers,#005A9C,FALSE
2015,LAD,"3,764,815","46,479",29.5,28.1,95,94,0,5,16,"$265,140,429.00",Los Angeles Dodgers,#005A9C,FALSE
2014,LAD,"3,782,337","46,696",29.3,29.9,96,95,0,4,21,"$233,386,026.00",Los Angeles Dodgers,#005A9C,FALSE
2013,LAD,"3,743,527","46,216",30.6,28.1,96,95,0,1,21,"$254,161,000.00",Los Angeles Dodgers,#005A9C,FALSE
2012,LAD,"3,324,246","41,040",30.4,29,96,96,0,2,15,"$177,033,600.00",Los Angeles Dodgers,#005A9C,FALSE
2011,LAD,"2,935,139","36,236",29.8,28.6,96,96,0,3,14,"$103,785,477.00",Los Angeles Dodgers,#005A9C,FALSE
2010,LAD,"3,562,320","43,979",30.3,28.1,96,96,0,4,18,"$95,358,016.00",Los Angeles Dodgers,#005A9C,FALSE
2009,LAD,"3,761,655","46,440",29.7,27.8,95,95,1,3,19,"$102,117,592.00",Los Angeles Dodgers,#005A9C,FALSE
2008,LAD,"3,730,553","46,056",28.5,29.5,98,97,1,1,18,"$118,588,536.00",Los Angeles Dodgers,#005A9C,FALSE
2007,LAD,"3,857,036","47,618",29.7,31.1,101,100,0,3,20,"$108,454,524.00",Los Angeles Dodgers,#005A9C,FALSE
2006,LAD,"3,758,545","46,402",29.9,30.4,101,100,1,2,23,"$98,447,187.00",Los Angeles Dodgers,#005A9C,FALSE
2005,LAD,"3,603,646","44,489",28.7,28.5,98,97,0,2,14,"$83,039,000.00",Los Angeles Dodgers,#005A9C,FALSE
2004,LAD,"3,488,283","43,065",28.9,29.5,95,95,0,2,16,"$92,902,001.00",Los Angeles Dodgers,#005A9C,FALSE
2003,LAD,"3,138,626","38,748",29.9,31.2,94,94,1,3,19,"$105,872,620.00",Los Angeles Dodgers,#005A9C,FALSE
2002,LAD,"3,131,255","38,657",30,31,92,92,0,3,15,"$94,850,953.00",Los Angeles Dodgers,#005A9C,FALSE
2001,LAD,"3,017,143","37,249",30.2,30.5,92,91,0,2,15,"$109,105,953.00",Los Angeles Dodgers,#005A9C,FALSE
2000,LAD,"2,880,242","35,559",29.6,29.5,94,93,0,2,14,"$88,124,286.00",Los Angeles Dodgers,#005A9C,FALSE
1999,LAD,"3,095,346","38,214",29.2,28.6,94,94,0,1,13,"$81,062,453.00",Los Angeles Dodgers,#005A9C,FALSE
1998,LAD,"3,089,222","38,139",28.3,27.6,95,95,1,2,15,"$48,820,000.00",Los Angeles Dodgers,#005A9C,FALSE
1997,LAD,"3,319,504","40,982",29.3,28.8,93,92,2,1,9,"$45,380,304.00",Los Angeles Dodgers,#005A9C,FALSE
1996,LAD,"3,188,454","39,364",27.9,28.2,93,92,1,2,8,"$35,355,000.00",Los Angeles Dodgers,#005A9C,FALSE
1995,LAD,"2,766,251","38,420",27.4,27.7,91,90,1,5,11,"$39,273,201.00",Los Angeles Dodgers,#005A9C,FALSE
1994,LAD,"2,279,355","41,443",28.7,30,94,93,1,1,11,"$38,000,001.00",Los Angeles Dodgers,#005A9C,FALSE
1993,LAD,"3,170,393","39,141",28.8,29.1,94,94,2,1,14,"$39,440,999.00",Los Angeles Dodgers,#005A9C,FALSE
1992,LAD,"2,473,266","30,534",28.4,31.2,99,99,2,1,16,"$44,788,166.00",Los Angeles Dodgers,#005A9C,FALSE
1991,LAD,"3,348,170","41,335",30.2,30.2,98,97,2,5,16,"$32,790,664.00",Los Angeles Dodgers,#005A9C,FALSE
1990,LAD,"3,002,396","37,067",29.7,28.2,97,97,1,2,16,"$22,018,704.00",Los Angeles Dodgers,#005A9C,FALSE
1989,LAD,"2,944,653","36,354",29.8,28.5,99,98,1,4,14,"$21,071,562.00",Los Angeles Dodgers,#005A9C,FALSE
1988,LAD,"2,980,262","36,793",29,29.2,98,97,1,1,12,"$17,141,015.00",Los Angeles Dodgers,#005A9C,TRUE
1987,LAD,"2,797,409","34,536",28.2,27.9,98,98,0,2,16,"$14,474,737.00",Los Angeles Dodgers,#005A9C,FALSE
1986,LAD,"3,023,208","37,324",28,27.8,93,93,0,2,14,"$15,213,776.00",Los Angeles Dodgers,#005A9C,FALSE
1985,LAD,"3,264,593","40,304",27.7,28,96,96,0,2,15,"$10,967,917.00",Los Angeles Dodgers,#005A9C,FALSE
1984,LAD,"3,134,824","38,702",26.8,27.5,98,98,0,2,14,,Los Angeles Dodgers,#005A9C,FALSE
1983,LAD,"3,510,313","43,879",28.1,27.1,99,99,0,3,18,"$3,751,000.00",Los Angeles Dodgers,#005A9C,FALSE
1982,LAD,"3,608,881","44,554",29.2,26.8,98,97,0,4,18,,Los Angeles Dodgers,#005A9C,FALSE
1981,LAD,"2,381,292","42,523",29.3,26.2,97,96,0,6,20,,Los Angeles Dodgers,#005A9C,TRUE
1980,LAD,"3,249,287","39,625",30.4,28.2,99,98,1,6,19,,Los Angeles Dodgers,#005A9C,FALSE
1979,LAD,"2,860,954","35,320",30.4,28.3,99,97,1,3,18,,Los Angeles Dodgers,#005A9C,FALSE
1978,LAD,"3,347,845","41,331",30.5,28.7,99,98,1,6,18,"$3,071,500.00",Los Angeles Dodgers,#005A9C,FALSE
1977,LAD,"2,955,087","36,483",29.2,28.5,99,98,1,4,18,,Los Angeles Dodgers,#005A9C,FALSE
1976,LAD,"2,386,301","29,461",27.8,28.3,98,96,1,4,17,,Los Angeles Dodgers,#005A9C,FALSE
1975,LAD,"2,539,349","31,350",27.4,28.2,95,94,2,6,17,,Los Angeles Dodgers,#005A9C,FALSE
1974,LAD,"2,632,474","32,500",27.1,28.9,96,94,1,5,16,,Los Angeles Dodgers,#005A9C,FALSE
1973,LAD,"2,136,192","26,373",27,29.9,96,95,1,6,17,,Los Angeles Dodgers,#005A9C,FALSE
1972,LAD,"1,860,858","24,811",28.6,30.3,98,97,3,1,23,,Los Angeles Dodgers,#005A9C,FALSE
1971,LAD,"2,064,594","25,489",28.7,28.4,94,93,2,1,19,,Los Angeles Dodgers,#005A9C,FALSE
1970,LAD,"1,697,142","20,952",27.9,26.7,95,94,1,2,16,,Los Angeles Dodgers,#005A9C,FALSE
1969,LAD,"1,784,527","22,031",27.4,27.3,93,92,3,1,15,,Los Angeles Dodgers,#005A9C,FALSE
2019,MIA,"811,302","10,016",28.4,26.5,94,96,0,1,5,"$74,683,643.00",Miami Marlins,#00A3E0,FALSE
2018,MIA,"811,104","10,014",27.5,27.6,94,95,0,1,4,"$86,515,143.00",Miami Marlins,#00A3E0,FALSE
2017,MIA,"1,583,014","20,295",28.3,28.7,90,91,0,2,10,"$111,591,100.00",Miami Marlins,#00A3E0,FALSE
2016,MIA,"1,712,417","21,405",28.3,28,93,94,0,4,11,"$72,472,000.00",Miami Marlins,#00A3E0,FALSE
2015,MIA,"1,752,235","21,633",27.9,27.3,96,97,0,2,12,"$71,231,500.00",Miami Marlins,#00A3E0,FALSE
2014,MIA,"1,732,283","21,386",27.4,26.4,100,101,0,2,12,"$42,365,400.00",Miami Marlins,#00A3E0,FALSE
2013,MIA,"1,586,322","19,584",27.7,26,102,103,0,1,8,"$24,761,900.00",Miami Marlins,#00A3E0,FALSE
2012,MIA,"2,219,444","27,401",28.3,28.8,102,103,0,1,14,"$107,678,000.00",Miami Marlins,#00A3E0,FALSE
2019,MIL,"2,923,333","36,091",28.9,28.7,101,101,0,5,11,"$128,842,900.00",Milwaukee Brewers,#ffc52f,FALSE
2018,MIL,"2,850,875","35,196",28.9,28.8,102,101,0,5,14,"$109,295,700.00",Milwaukee Brewers,#ffc52f,FALSE
2017,MIL,"2,627,705","31,282",27.4,28.3,101,101,0,1,8,"$68,439,300.00",Milwaukee Brewers,#ffc52f,FALSE
2016,MIL,"2,314,614","28,575",27.5,28.1,102,102,0,1,8,"$52,077,500.00",Milwaukee Brewers,#ffc52f,FALSE
2015,MIL,"2,542,558","31,390",28.1,28.4,100,101,0,2,12,"$70,869,500.00",Milwaukee Brewers,#ffc52f,FALSE
2014,MIL,"2,797,384","34,536",28.8,29,103,103,0,4,15,"$109,567,000.00",Milwaukee Brewers,#ffc52f,FALSE
2013,MIL,"2,531,105","31,248",27.9,28.8,103,103,0,2,12,"$86,945,000.00",Milwaukee Brewers,#ffc52f,FALSE
2012,MIL,"2,831,385","34,955",29.2,29,105,104,0,1,16,"$95,717,000.00",Milwaukee Brewers,#ffc52f,FALSE
2011,MIL,"3,071,373","37,918",28.9,29.3,103,103,0,3,14,"$86,636,333.00",Milwaukee Brewers,#ffc52f,FALSE
2010,MIL,"2,776,531","34,278",27.8,29.2,100,100,1,3,16,"$81,108,278.00",Milwaukee Brewers,#ffc52f,FALSE
2009,MIL,"3,037,451","37,499",29.3,30,98,98,1,3,11,"$81,384,502.00",Milwaukee Brewers,#ffc52f,FALSE
2008,MIL,"3,068,458","37,882",28.7,29.9,98,98,0,3,14,"$80,937,499.00",Milwaukee Brewers,#ffc52f,FALSE
2007,MIL,"2,869,144","35,422",27.7,29.1,100,100,0,4,14,"$70,986,500.00",Milwaukee Brewers,#ffc52f,FALSE
2006,MIL,"2,335,643","28,835",28.8,28.3,101,101,0,3,13,"$57,970,333.00",Milwaukee Brewers,#ffc52f,FALSE
2005,MIL,"2,211,023","27,297",28.4,28,100,101,0,1,14,"$39,934,833.00",Milwaukee Brewers,#ffc52f,FALSE
2004,MIL,"2,062,382","25,462",28.5,27.2,100,101,0,2,7,"$27,528,500.00",Milwaukee Brewers,#ffc52f,FALSE
2003,MIL,"1,700,354","20,992",29.8,27.6,98,100,0,2,9,"$40,627,000.00",Milwaukee Brewers,#ffc52f,FALSE
2002,MIL,"1,969,153","24,311",29.9,26.8,98,99,0,2,8,"$50,287,833.00",Milwaukee Brewers,#ffc52f,FALSE
2001,MIL,"2,811,041","34,704",29.4,27.3,97,98,0,1,10,"$43,886,833.00",Milwaukee Brewers,#ffc52f,FALSE
2000,MIL,"1,573,621","19,427",28.8,27.4,97,98,0,1,9,"$37,305,333.00",Milwaukee Brewers,#ffc52f,FALSE
1999,MIL,"1,701,796","21,272",28.1,28.2,98,99,0,2,11,"$43,377,395.00",Milwaukee Brewers,#ffc52f,FALSE
1998,MIL,"1,811,593","22,365",28.3,28.1,100,101,0,1,11,"$34,139,904.00",Milwaukee Brewers,#ffc52f,FALSE
1997,MIL,"1,444,027","18,050",28,28.3,101,102,0,1,11,"$23,655,338.00",Milwaukee Brewers,#ffc52f,FALSE
1996,MIL,"1,327,155","16,385",27.8,27.2,103,104,0,1,11,"$21,730,000.00",Milwaukee Brewers,#ffc52f,FALSE
1995,MIL,"1,087,560","15,105",27.9,27.3,105,105,0,1,10,"$17,798,825.00",Milwaukee Brewers,#ffc52f,FALSE
1994,MIL,"1,268,399","22,650",27.9,28.3,104,104,0,1,10,"$24,350,500.00",Milwaukee Brewers,#ffc52f,FALSE
1993,MIL,"1,688,080","20,840",28.5,27.3,99,98,1,1,12,"$23,806,834.00",Milwaukee Brewers,#ffc52f,FALSE
1992,MIL,"1,857,351","22,930",29.7,27.5,98,98,2,1,12,"$31,013,667.00",Milwaukee Brewers,#ffc52f,FALSE
1991,MIL,"1,478,729","18,484",30.3,27,98,98,2,1,9,"$23,115,500.00",Milwaukee Brewers,#ffc52f,FALSE
1990,MIL,"1,752,900","21,641",29.5,28.6,99,99,2,1,8,"$20,149,167.00",Milwaukee Brewers,#ffc52f,FALSE
1989,MIL,"1,970,735","24,330",28.5,27.9,99,99,2,1,9,"$12,716,000.00",Milwaukee Brewers,#ffc52f,FALSE
1988,MIL,"1,923,238","23,744",28.4,27.2,101,100,2,2,8,"$9,502,000.00",Milwaukee Brewers,#ffc52f,FALSE
1987,MIL,"1,909,244","23,571",27.5,26.2,103,102,2,1,8,"$7,293,224.00",Milwaukee Brewers,#ffc52f,FALSE
1986,MIL,"1,265,041","15,813",29.2,26.2,103,104,2,1,8,"$9,943,642.00",Milwaukee Brewers,#ffc52f,FALSE
1985,MIL,"1,360,265","17,003",29.9,30.3,99,100,4,2,8,"$11,284,107.00",Milwaukee Brewers,#ffc52f,FALSE
1984,MIL,"1,608,509","19,858",29.7,31.2,96,97,5,1,10,,Milwaukee Brewers,#ffc52f,FALSE
1983,MIL,"2,397,131","29,594",29.7,30.6,93,92,4,4,10,,Milwaukee Brewers,#ffc52f,FALSE
1982,MIL,"1,978,896","24,133",29.5,30.3,94,93,5,4,14,,Milwaukee Brewers,#ffc52f,FALSE
1981,MIL,"874,292","17,843",28.8,29.1,95,94,4,3,13,,Milwaukee Brewers,#ffc52f,FALSE
1980,MIL,"1,857,408","22,651",28,27.3,97,96,2,4,11,,Milwaukee Brewers,#ffc52f,FALSE
1979,MIL,"1,918,343","23,683",27.6,26.6,100,99,2,1,12,,Milwaukee Brewers,#ffc52f,FALSE
1978,MIL,"1,601,406","19,770",27.4,25.1,100,100,2,3,13,,Milwaukee Brewers,#ffc52f,FALSE
1977,MIL,"1,114,938","13,765",27.2,24.1,100,100,1,2,9,"$868,700.00",Milwaukee Brewers,#ffc52f,FALSE
1976,MIL,"1,012,164","12,496",27.1,26,98,99,2,2,10,,Milwaukee Brewers,#ffc52f,FALSE
1975,MIL,"1,213,357","14,980",27,25.6,100,101,2,2,10,,Milwaukee Brewers,#ffc52f,FALSE
1974,MIL,"955,741","11,799",26.6,26.1,99,99,1,2,13,,Milwaukee Brewers,#ffc52f,FALSE
1973,MIL,"1,092,158","13,483",25.7,26,97,98,0,2,9,"$309,900.00",Milwaukee Brewers,#ffc52f,FALSE
1972,MIL,"600,440","7,601",26.6,25.9,97,98,0,1,9,"$361,550.00",Milwaukee Brewers,#ffc52f,FALSE
1971,MIL,"731,531","8,921",27.1,26,98,99,0,1,8,"$491,500.00",Milwaukee Brewers,#ffc52f,FALSE
1970,MIL,"933,690","11,527",29.2,27.8,100,101,0,1,11,"$302,200.00",Milwaukee Brewers,#ffc52f,FALSE
2019,MIN,"2,294,152","28,323",27.8,28.2,100,99,0,3,9,"$113,758,333.00",Minnesota Twins,#002B5C,FALSE
2018,MIN,"1,959,197","24,188",28.2,28.5,101,100,0,1,13,"$110,275,000.00",Minnesota Twins,#002B5C,FALSE
2017,MIN,"2,051,279","25,324",27.1,29.6,100,101,0,3,13,"$103,932,500.00",Minnesota Twins,#002B5C,FALSE
2016,MIN,"1,963,912","24,246",26.9,28.3,100,100,0,1,13,"$93,333,700.00",Minnesota Twins,#002B5C,FALSE
2015,MIN,"2,220,054","27,408",28.3,29.1,100,101,0,2,11,"$107,755,000.00",Minnesota Twins,#002B5C,FALSE
2014,MIN,"2,250,606","27,785",27.5,29.2,102,102,0,2,10,"$87,044,000.00",Minnesota Twins,#002B5C,FALSE
2013,MIN,"2,477,644","30,588",28.3,28.3,101,102,0,2,7,"$63,042,500.00",Minnesota Twins,#002B5C,FALSE
2012,MIN,"2,776,354","34,276",28.9,27.8,98,100,0,1,9,"$99,066,000.00",Minnesota Twins,#002B5C,FALSE
2011,MIN,"3,168,116","39,113",27.5,28.5,99,99,1,1,10,"$112,737,000.00",Minnesota Twins,#002B5C,FALSE
2010,MIN,"3,223,640","39,798",28.4,28.6,98,98,1,2,14,"$97,559,166.00",Minnesota Twins,#002B5C,FALSE
2009,MIN,"2,416,237","29,466",27.6,27.9,98,98,0,3,11,"$67,804,266.00",Minnesota Twins,#002B5C,FALSE
2008,MIN,"2,302,431","28,425",26.2,27.5,96,96,0,3,11,"$56,932,766.00",Minnesota Twins,#002B5C,FALSE
2007,MIN,"2,296,383","28,350",28.4,27.4,95,95,0,3,13,"$71,439,500.00",Minnesota Twins,#002B5C,FALSE
2006,MIN,"2,285,018","28,210",28.3,26.9,98,98,0,3,17,"$63,396,006.00",Minnesota Twins,#002B5C,FALSE
2005,MIN,"2,034,243","25,114",27.6,27.9,102,102,0,2,13,"$56,186,000.00",Minnesota Twins,#002B5C,FALSE
2004,MIN,"1,911,490","23,599",27.8,28.2,102,102,0,1,13,"$53,890,000.00",Minnesota Twins,#002B5C,FALSE
2003,MIN,"1,946,011","24,025",27.2,29.7,101,100,0,1,15,"$55,505,000.00",Minnesota Twins,#002B5C,FALSE
2002,MIN,"1,924,473","23,759",26.6,28.8,100,100,0,3,11,"$40,425,000.00",Minnesota Twins,#002B5C,FALSE
2001,MIN,"1,782,929","22,011",26.2,27.4,101,101,0,3,15,"$24,130,000.00",Minnesota Twins,#002B5C,FALSE
2000,MIN,"1,000,760","12,355",26.5,26.6,104,105,0,1,12,"$17,529,500.00",Minnesota Twins,#002B5C,FALSE
1999,MIN,"1,202,829","14,850",26.8,26.3,103,104,0,1,13,"$22,107,500.00",Minnesota Twins,#002B5C,FALSE
1998,MIN,"1,165,976","14,395",29.9,28.7,101,102,1,1,14,"$28,097,500.00",Minnesota Twins,#002B5C,FALSE
1997,MIN,"1,411,064","17,421",29.2,28.1,100,101,1,1,14,"$34,072,500.00",Minnesota Twins,#002B5C,FALSE
1996,MIN,"1,437,352","17,529",28.6,25.8,101,102,1,1,9,"$23,117,000.00",Minnesota Twins,#002B5C,FALSE
1995,MIN,"1,057,667","14,690",27.4,25.7,101,102,1,1,7,"$25,410,500.00",Minnesota Twins,#002B5C,FALSE
1994,MIN,"1,398,565","23,704",28.9,28.1,100,101,2,2,6,"$28,438,500.00",Minnesota Twins,#002B5C,FALSE
1993,MIN,"2,048,673","25,292",29.7,27.5,100,100,2,2,6,"$28,217,933.00",Minnesota Twins,#002B5C,FALSE
1992,MIN,"2,482,428","30,647",28.7,27.7,102,102,1,3,6,"$28,027,834.00",Minnesota Twins,#002B5C,FALSE
1991,MIN,"2,293,842","28,319",29.1,28.6,105,104,2,3,8,"$23,361,833.00",Minnesota Twins,#002B5C,TRUE
1990,MIN,"1,751,584","21,624",29.5,27.1,106,106,1,1,5,"$15,272,000.00",Minnesota Twins,#002B5C,FALSE
1989,MIN,"2,277,438","28,117",29.4,28,107,107,1,2,9,"$16,806,666.00",Minnesota Twins,#002B5C,FALSE
1988,MIN,"3,030,672","37,416",28.4,30,102,102,3,5,13,"$13,308,966.00",Minnesota Twins,#002B5C,FALSE
1987,MIN,"2,081,976","25,703",27.6,31.4,103,103,3,1,12,"$10,585,000.00",Minnesota Twins,#002B5C,TRUE
1986,MIN,"1,255,453","15,499",26.8,28.5,101,102,2,1,10,"$9,498,167.00",Minnesota Twins,#002B5C,FALSE
1985,MIN,"1,651,814","19,664",26.3,28.1,105,105,2,1,12,"$5,764,821.00",Minnesota Twins,#002B5C,FALSE
1984,MIN,"1,598,692","19,737",25.7,27.2,104,105,1,1,10,,Minnesota Twins,#002B5C,FALSE
1983,MIN,"858,939","10,604",25.9,26.3,103,104,0,1,9,,Minnesota Twins,#002B5C,FALSE
1982,MIN,"921,186","11,373",25.2,25.2,103,104,0,1,11,,Minnesota Twins,#002B5C,FALSE
1981,MIN,"469,090","7,690",26.8,27.2,106,108,0,1,9,,Minnesota Twins,#002B5C,FALSE
1980,MIN,"769,206","9,615",26.5,28.7,107,108,0,1,7,,Minnesota Twins,#002B5C,FALSE
1979,MIN,"1,070,521","13,216",26.1,29.5,104,104,0,1,7,,Minnesota Twins,#002B5C,FALSE
1978,MIN,"787,878","9,727",26.9,26.5,102,102,1,1,4,,Minnesota Twins,#002B5C,FALSE
1977,MIN,"1,162,727","14,534",26.6,27,99,98,1,3,5,"$624,200.00",Minnesota Twins,#002B5C,FALSE
1976,MIN,"715,394","8,832",26.5,26.6,103,102,2,2,9,,Minnesota Twins,#002B5C,FALSE
1975,MIN,"737,156","8,990",27.6,25.8,102,102,2,1,6,,Minnesota Twins,#002B5C,FALSE
1974,MIN,"662,401","8,078",28.2,26.4,104,104,3,1,8,"$535,300.00",Minnesota Twins,#002B5C,FALSE
1973,MIN,"907,499","11,204",28,26.6,104,103,3,2,7,"$485,500.00",Minnesota Twins,#002B5C,FALSE
1972,MIN,"797,901","10,782",27.4,26.9,105,105,3,1,7,"$522,450.00",Minnesota Twins,#002B5C,FALSE
1971,MIN,"940,858","11,910",28.5,27.3,103,102,3,5,8,"$657,600.00",Minnesota Twins,#002B5C,FALSE
1970,MIN,"1,261,887","15,579",28.6,28.1,103,102,3,4,10,"$493,500.00",Minnesota Twins,#002B5C,FALSE
1969,MIN,"1,349,328","16,658",28.9,28.9,104,102,2,4,10,"$526,000.00",Minnesota Twins,#002B5C,FALSE
2004,MON,"749,550","9,369",27.5,26.5,104,105,0,1,5,"$41,197,500.00",Montreal Expos,#003087,FALSE
2003,MON,"1,025,639","12,662",27.7,26.7,105,105,1,1,6,"$51,948,500.00",Montreal Expos,#003087,FALSE
2002,MON,"812,045","10,025",28.2,27.7,103,103,1,2,9,"$38,670,500.00",Montreal Expos,#003087,FALSE
2001,MON,"642,745","7,935",27.6,27.4,101,102,2,1,7,"$35,159,500.00",Montreal Expos,#003087,FALSE
2000,MON,"926,272","11,435",26.2,26.1,103,104,1,2,7,"$32,994,333.00",Montreal Expos,#003087,FALSE
